text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
recibí 250000 de sueldo,ADD_INCOME,NONE,,OTHER,sueldo,250000,
me entraron 15000 por propina hoy,ADD_INCOME,TODAY,hoy,OTHER,propina,15000,
cobré 78000 por un servicio ayer,ADD_INCOME,YESTERDAY,ayer,SERVICES,servicio,78000,
recibí 6000 de interés este mes,ADD_INCOME,THIS_MONTH,este mes,OTHER,interés,6000,
me pagaron 34000 por freelance ayer,ADD_INCOME,YESTERDAY,ayer,OTHER,freelance,34000,
cobré 270000 el mes pasado,ADD_INCOME,LAST_MONTH,el mes pasado,NONE,,270000,
recibí 19000 de devolución este mes,ADD_INCOME,THIS_MONTH,este mes,OTHER,devolución,19000,
me entraron 42000 hoy,ADD_INCOME,TODAY,hoy,NONE,,42000,
cobré 56000 por una venta hoy,ADD_INCOME,TODAY,hoy,OTHER,venta,56000,
recibí 102000 por consultoría este mes,ADD_INCOME,THIS_MONTH,este mes,SERVICES,consultoría,102000,
me pagaron 8800 de reembolso hoy,ADD_INCOME,TODAY,hoy,OTHER,reembolso,8800,
cobré 135000 en total,ADD_INCOME,NONE,,NONE,,135000,
recibí 72000 por servicios ayer,ADD_INCOME,YESTERDAY,ayer,SERVICES,servicios,72000,
me entraron 98000 este mes,ADD_INCOME,THIS_MONTH,este mes,NONE,,98000,
cobré 25000 la semana pasada,ADD_INCOME,LAST_N_DAYS,la semana pasada,NONE,,25000,
recibí 66000 de salario hoy,ADD_INCOME,TODAY,hoy,OTHER,salario,66000,
me pagaron 500000 de sueldo,ADD_INCOME,NONE,,OTHER,sueldo,500000,
cobré 18000 de interés ayer,ADD_INCOME,YESTERDAY,ayer,OTHER,interés,18000,
recibí 31000 por un trabajo hoy,ADD_INCOME,TODAY,hoy,OTHER,trabajo,31000,
me entraron 470000 este mes,ADD_INCOME,THIS_MONTH,este mes,NONE,,470000,
cobré 92000 por venta el mes pasado,ADD_INCOME,LAST_MONTH,el mes pasado,OTHER,venta,92000,
recibí 120000 por freelance este mes,ADD_INCOME,THIS_MONTH,este mes,OTHER,freelance,120000,
me pagaron 15500 de reintegro hoy,ADD_INCOME,TODAY,hoy,OTHER,reintegro,15500,
cobré 68000 ayer,ADD_INCOME,YESTERDAY,ayer,NONE,,68000,
recibí 210000 de sueldo este mes,ADD_INCOME,THIS_MONTH,este mes,OTHER,sueldo,210000,
me entraron 39000 por consultoría ayer,ADD_INCOME,YESTERDAY,ayer,SERVICES,consultoría,39000,
cobré 84000 en febrero,ADD_INCOME,MONTH_NAME,febrero,NONE,,84000,
recibí 73000 en enero,ADD_INCOME,MONTH_NAME,enero,NONE,,73000
