text,intent,period_type,period_text,category_hint,category_text,amount_text,account_text
qué movimientos tuve en servicios el mes pasado,SHOW_MOVEMENTS,LAST_MONTH,el mes pasado,SERVICES,servicios,,
mostrame gastos de servicios la semana pasada,SHOW_MOVEMENTS,LAST_N_DAYS,la semana pasada,SERVICES,servicios,,
qué movimientos hice en entretenimiento este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,ENTERTAINMENT,entretenimiento,,
mostrame gastos de entretenimiento la semana pasada,SHOW_MOVEMENTS,LAST_N_DAYS,la semana pasada,ENTERTAINMENT,entretenimiento,,
qué movimientos tuve en salud ayer,SHOW_MOVEMENTS,YESTERDAY,ayer,HEALTH,salud,,
mostrame gastos de salud hoy,SHOW_MOVEMENTS,TODAY,hoy,HEALTH,salud,,
qué movimientos tuve en alquiler este mes,SHOW_MOVEMENTS,THIS_MONTH,este mes,RENT,alquiler,,
mostrame gastos de alquiler la semana pasada,SHOW_MOVEMENTS,LAST_N_DAYS,la semana pasada,RENT,alquiler,,
qué movimientos hice en supermercado del 10 al 20,SHOW_MOVEMENTS,DATE_RANGE,del 10 al 20,SUPERMARKET,supermercado,,
mostrame gastos en comida del 5 al 15,SHOW_MOVEMENTS,DATE_RANGE,del 5 al 15,FOOD,comida,,
qué movimientos tuve en transporte del 1 al 7,SHOW_MOVEMENTS,DATE_RANGE,del 1 al 7,TRANSPORT,transporte,,
mostrame gastos en servicios del 3 al 12,SHOW_MOVEMENTS,DATE_RANGE,del 3 al 12,SERVICES,servicios,,
qué movimientos hice en entretenimiento del 8 al 18,SHOW_MOVEMENTS,DATE_RANGE,del 8 al 18,ENTERTAINMENT,entretenimiento,,
mostrame gastos en salud del 2 al 9,SHOW_MOVEMENTS,DATE_RANGE,del 2 al 9,HEALTH,salud,,
qué movimientos tuve en alquiler del 1 al 31,SHOW_MOVEMENTS,DATE_RANGE,del 1 al 31,RENT,alquiler,,
mostrame mis gastos del mes,SHOW_MOVEMENTS,THIS_MONTH,mes,NONE,,,
